"order_id","seller_id","item_id","customer_id","address","date"
1,140,637,449,"2105 Webster Stream
East Anne, GA 22571","2021-11-01"
2,263,127,60,"5125 Robert Tunnel Apt. 834
Ginaland, CA 82684","2023-05-24"
3,291,547,409,"74238 Salazar Street Apt. 726
Lake Lindaside, MI 80740","2020-06-27"
4,540,320,902,"65660 Jennifer Rapid
East Juan, IN 33909","2021-07-26"
5,591,811,424,"695 Alexander Knoll
North Paulatown, KY 38444","2021-02-15"
6,288,665,202,"38040 Kyle Parkway
Riveraland, DE 61509","2020-01-23"
7,986,814,922,"648 Scott Rapid
Morganland, UT 19758","2020-12-02"
8,953,1,142,"73753 Griffith Valleys Apt. 889
South Jefferyfort, MI 73285","2022-02-20"
9,371,172,171,"356 Edward Views Apt. 420
Lake Jamesmouth, HI 51818","2020-08-07"
10,609,317,42,"47568 Carrie Loaf
Erichaven, ID 46801","2022-03-09"
11,449,93,222,"9039 Richard Spring
Michaelland, AS 58712","2021-12-13"
12,299,609,192,"18915 Hayes Isle Suite 845
East Maria, UT 85797","2023-06-27"
13,746,242,157,"63286 Fitzpatrick Path Suite 381
Sandraberg, NM 92361","2021-11-15"
14,329,656,498,"Unit 7196 Box 9210
DPO AA 47933","2021-06-27"
15,462,878,761,"016 Murphy Gateway
South Shelbymouth, NY 12401","2021-09-17"
16,994,999,193,"56215 Krueger Pine
Burnsborough, DC 79584","2021-03-20"
17,624,500,857,"581 Suzanne Stream
Phamton, NY 79685","2020-04-23"
18,422,887,430,"63055 Debra Station Suite 848
Kennedyport, AL 30935","2021-08-21"
19,262,328,176,"9192 Charlotte Crescent Suite 377
North Wanda, OR 09999","2022-01-14"
20,743,799,472,"147 Katherine Courts Apt. 520
North Tammymouth, IN 58317","2021-08-30"
21,290,595,793,"USS Bell
FPO AE 73641","2022-10-13"
22,901,578,726,"9666 Joshua Avenue Apt. 093
New Sherriport, CO 48627","2022-06-06"
23,43,233,745,"51618 Roberto Haven Apt. 097
Rossview, FM 79172","2021-08-10"
24,543,208,907,"10445 Karina Mills
Kristenfort, AL 79294","2021-12-11"
25,849,35,790,"21611 Morgan Lock Apt. 024
Sancheztown, NE 79320","2021-07-17"
26,595,916,639,"926 Rangel Points Apt. 459
North John, IA 70425","2021-07-25"
27,702,32,4,"Unit 9518 Box 3959
DPO AE 42110","2021-05-21"
28,540,728,796,"239 Tyrone Circle
Port Alyssa, GU 06889","2022-10-02"
29,76,452,229,"7756 Edward Ferry Suite 135
Melissaport, IA 41050","2023-06-09"
30,72,735,282,"61593 Richard Lights
Lake Andre, MS 10647","2023-05-24"
31,199,4,817,"7611 Jeffrey Mills Suite 665
East Amberbury, KY 23692","2021-09-15"
32,73,135,324,"5863 Rocha Plaza Apt. 855
East Daisy, NC 77227","2022-08-17"
33,12,792,301,"13213 Payne Walk Suite 149
Lake Maryborough, MS 48649","2023-02-04"
34,482,691,527,"0732 Carol Mountains
North Latoya, TX 09776","2020-03-15"
35,385,799,495,"90778 Steven Centers
Butlerton, KS 35428","2020-03-26"
36,773,832,732,"77474 Michael Trace
South Billystad, NM 08177","2023-05-31"
37,591,73,110,"819 Rodriguez Highway Suite 064
West Jodiland, OH 06318","2022-04-10"
38,317,530,518,"319 Deleon Fort Apt. 381
New Charles, NE 60051","2020-06-19"
