"seller_id","first_name","middle_name","last_name","email","contact_number"
1,"Diana","Raven","Miller","lowedavid@example.org","(752)793-6752x3186"
2,"Daniel","Lisa","Porter","youngcheryl@example.com","947-300-0079x719"
3,"Nancy","Austin","Williams","smithrobert@example.com","514-586-0179x64518"
4,"Michael","Kelli","Stone","jessica35@example.net","(489)816-0047x82712"
5,"Andrea","Christopher","Allen","jeffreybrown@example.org","841.224.3585x07683"
6,"Christopher","Madison","Medina","caguirre@example.net","507-879-2443"
7,"Benjamin","Julian","Simmons","averynathan@example.net","568.859.5414x6168"
8,"Jonathan","Robert","Osborne","nicholasmaddox@example.com","822-361-6969"
9,"Linda","David","Austin","kyle26@example.net","(375)934-9661x12915"
10,"Jose","Andrew","Nichols","pattonamber@example.org","633.600.3875"
11,"Jeffrey","Carlos","Anderson","robert34@example.net","001-677-257-2415x952"
12,"Brittany","Heidi","Morris","nduarte@example.org","(268)821-6017"
13,"Brandon","Marco","Porter","whiteleslie@example.org","(652)327-2224"
14,"Mary","Keith","Martinez","gwebb@example.com","457.544.6743"
15,"Nicholas","Tracy","Gutierrez","steven16@example.com",2385500084
16,"Alyssa","Shannon","Choi","morrisoncraig@example.com","733-383-6932x476"
17,"Rose","Chloe","Williams","nathanwilliams@example.org","001-418-837-9802x102"
18,"Leslie","Adam","Smith","lewischristina@example.org","(872)714-9586x707"
19,"Diana","Valerie","Nixon","samantharobertson@example.org","410-954-7889x774"
20,"Justin","Melissa","Hill","sstrickland@example.org","641-949-0604x96280"
21,"Dustin","Jamie","Patterson","nlloyd@example.org","+1-776-493-6785x912"
22,"Jacqueline","Christine","Ward","nicholasbernard@example.org","945.289.6669"
23,"Emily","Adrian","Hawkins","briana27@example.com","001-265-910-0143x312"
24,"Michael","John","Young","villegasmary@example.org","593-749-8539x554"
25,"Susan","Marcus","Lee","billy84@example.com","001-225-381-8545x718"
26,"Matthew","Lisa","Webb","warnermichael@example.com","001-736-883-6946"
27,"Morgan","Noah","Gibson","nwagner@example.com","608.243.0273"
28,"Joseph","Marie","Adams","hwilliams@example.net",7993166346
